Complete,Reference Information,,,,,,,,,,,,,,,,,,,,Findings (categories),,,,,,,,,,,,,,,,,,,
,ID,Database,Database ID,Citation,Title,"Title Screen (1 = include, 2 = possibly include, 3 = probably exclude, 4 = exclude)",Link,Abstract,"Abstract Screen (1 = include) - includes “ADAS”, “Level 2”, “Level 3”, “driver assistance”, “crash avoidance”, and/or “automation/automated/autonomous”","Exclude (0) if:  Solely focused on driver use (e.g. takeover), alert type, sensors/tech, or any human/machine-interface focus",Divide into Pre-ownership (1) and post-crash (2),Need to discuss whether fits screening? (1) if yes,Have PDF,Reader name,Author(s),Year,"Type of resource (e.g., Journal article, Dissertation/thesis, Book chapter, Technical report, Conference paper, Popular media article)",Study location,Methods,Sample size,ADAS overview/general,"Availability (by type, cost, etc)",Utility/Usage,Vulnerable road users,Findings on Gender/Age,Car buying process,Seller info and training,Marketing and ads,Online sellers,"Mandates, policy & regulatory issues",Safety effects of ADAS,Police and ADAS,Post-crash data collection,"User knowledge, trust, acceptance and education",Legal issues,Limitations/Caveats,Key suggestions for future research,Funding source,Other notes,Read whole article already (Yes/No)
,30,DOI,10.1177/1541931213601973,"Wright, T. J., Svancara, A., & Horrey, W. J. (2017, September). An initial review of the instructional and operational variability among automated systems in passenger vehicles. In Proceedings of the Human Factors and Ergonomics Society Annual Meeting (Vol. 61, No. 1, pp. 1979-1979). Sage CA: Los Angeles, CA: SAGE Publications.",An Initial Review of the Instructional and Operational Variability Among Automated Systems in Passenger Vehicles,1,https://doi.org/10.1177/1541931213601973,"As automotive manufacturers are increasing the amount of technology and automation available in vehicles, drivers must increase their understanding of how to properly use these technologies before the full safety benefits can be realized. Unfortunately, recent work has suggested that even drivers with the most advanced vehicles often have little understanding of the available technology (McDonald et al., 2017). Yet, this poor understanding of advanced driver assistance systems cannot entirely be blamed on the driver; other factors, such as the availability and quality of instructional sources are also at play (e.g., Abraham et al., 2017). Facilitating access to safety-critical information and standardizing instructional and operational components are two potential routes to increase drivers’ knowledge. However, target areas must be identified. The current study reviewed the degree to which automated systems in passenger vehicles and related information varied among those moderately-priced and luxury models marketed and sold in the United States. Information regarding ten existing longitudinal (e.g., adaptive cruise control) and ten lateral control automated systems (i.e., those that provide sustained lateral control and lane centering) were gathered from OEM websites and operator manuals. Information was coded and synthesized, including the name of the system, the stated functionality, operation, and system constraints as well as the source of the information. Results of this exercise suggest a number of target areas for researchers, OEMs and policy makers to consider in attempts to increase accessibility, knowledge, and ultimately safe usage of these technologies. First, a high degree of variability was observed even among basic characteristics of these technologies such as the system name. This was particularly an issue among luxury automated longitudinal control systems where every system had a fairly different name. While the activation methods were largely consistent across both lateral and longitudinal systems, the deactivation methods varied a great deal both in the allowance of alternative methods and the type of method (if allowed). Moreover, all the systems provided some form of visual feedback to the driver, but this feedback still varied greatly, particularly among lateral systems, in the location of the feedback and the modality that supplemental feedback was presented. System limits for both automated lateral and longitudinal systems were also elucidated. The majority of OEMs reported five types of system limits: curves, stopped vehicles, weather, small obstacles (e.g., pedestrians, bicyclists), and hills. Similar to the lateral control systems, two OEMs also reported difficulty handling an occupied adjacent lane. These limits were elucidated primarily through the operator manual for each respective model. While some information concerning these limits was available on the website, generally information gathered at this location was restricted. This limited accessibility to information is likely leading to individuals not getting this information, resulting in the poor understanding of these systems observed among owners and even dealers of this technology (Abraham et al., 2017; McDonald et al., 2017). When these individuals do take the time to read the operator manual and do get this information, the variability across systems likely limits their understanding and building of a mental model that supports safe usage over time as they encounter other similar systems.",,,1,,Yes,Quan Sun,"Wright, T. J., Svancara, A., & Horrey, W. J.",2017,Coference Proceeding,,Content analysis of manuels and OEM website regarding existing longitudinal (cruise control) and lateral (lane control) ADAS system,10 moderelaty priced and luxury models sold in US,"1. “First, a high degree of variability was observed even among basic characteristics of these technologies such as the system name.” ([Wright et al., 2017, p. 1](zotero://select/groups/4433127/items/6M5PHHZJ)) ([pdf](zotero://open-pdf/groups/4433127/items/IQT6QHK3?page=1&annotation=XTFGIICT)) 2. While the activation methods were largely consistent across both lateral and longitudinal systems, the deactivation methods varied a great deal both in the allowance of alternative methods and the type of method (if allowed). 3. “all the systems provided some form of visual feedback to the driver, but this feedback still varied greatly, particularly among lateral systems, in the location of the feedback and the modality that supplemental feedback was presented.” ([Wright et al., 2017, p. 1](zotero://select/groups/4433127/items/6M5PHHZJ)) ([pdf](zotero://open-pdf/groups/4433127/items/IQT6QHK3?page=1&annotation=429445QP))",,,,,,"“System limits for both automated lateral and longitudinal systems were also elucidated. The majority of OEMs reported five types of system limits: curves, stopped vehicles, weather, small obstacles (e.g., pedestrians, bicyclists), and hills. Similar to the lateral control systems, two OEMs also reported difficulty handling an occupied adjacent lane.” ([Wright et al., 2017, p. 1](zotero://select/groups/4433127/items/6M5PHHZJ)) ([pdf](zotero://open-pdf/groups/4433127/items/IQT6QHK3?page=1&annotation=RXGRDYSM)) Findings 4 “While some information concerning these limits was available on the website, generally information gathered at this location was restricted. This limited accessibility to information is likely leading to individuals not getting this information, resulting in the poor understanding of these systems observed among owners and even dealers of this technology (Abraham et al., 2017; McDonald et al., 2017).” ([Wright et al., 2017, p. 1](zotero://select/groups/4433127/items/6M5PHHZJ)) ([pdf](zotero://open-pdf/groups/4433127/items/IQT6QHK3?page=1&annotation=UJ9IU6G8)) Findings 4",,,,,,,,,,,,,Y
,31,DOI,10.1016/j.aap.2017.09.011,"Rahman, M. M., Lesch, M. F., Horrey, W. J., & Strawderman, L. (2017). Assessing the utility of TAM, TPB, and UTAUT for advanced driver assistance systems. Accident Analysis & Prevention, 108, 361-373.","Assessing the utility of TAM, TPB, and UTAUT for advanced driver assistance systems",1,https://www.sciencedirect.com/science/article/pii/S0001457517303329,"Advanced Driver Assistance Systems (ADAS) are intended to enhance driver performance and improve transportation safety. The potential benefits of these technologies, such as reduction in number of crashes, enhancing driver comfort or convenience, decreasing environmental impact, etc., have been acknowledged by transportation safety researchers and federal transportation agencies. Although these systems afford safety advantages, they may also challenge the traditional role of drivers in operating vehicles. Driver acceptance, therefore, is essential for the implementation of these systems into the transportation system. Recognizing the need for research into the factors affecting driver acceptance, this study assessed the utility of the Technology Acceptance Model (TAM), the Theory of Planned Behavior (TPB), and the Unified Theory of Acceptance and Use of Technology (UTAUT) for modelling driver acceptance in terms of Behavioral Intention to use an ADAS. Each of these models propose a set of factors that influence acceptance of a technology. Data collection was done using two approaches: a driving simulator approach and an online survey approach. In both approaches, participants interacted with either a fatigue monitoring system or an adaptive cruise control system combined with a lane-keeping system. Based on their experience, participants responded to several survey questions to indicate their attitude toward using the ADAS and their perception of its usefulness, usability, etc. A sample of 430 surveys were collected for this study. Results found that all the models (TAM, TPB, and UTAUT) can explain driver acceptance with their proposed sets of factors, each explaining 71% or more of the variability in Behavioral Intention. Among the models, TAM was found to perform the best in modelling driver acceptance followed by TPB. The findings of this study confirm that these models can be applied to ADAS technologies and that they provide a basis for understanding driver acceptance.",,,,,Yes,Quan Sun,"Rahman, M. M., Lesch, M. F., Horrey, W. J., & Strawderman, L.",2017,Journal Article,"Online and Boston, Ma (for ADAS driving simulation)","Combining the data collected via survey and driving simulation, the user tested the effectiveness of TAM, TPB and UTAUT models in predicting the users' intention to use ADAS system. The TAM, TPB, and UTAUT are models developed to assess whether user will use a technology, bsaed on factors of their perceived of usefulness (PU), perceived ease of use (PEoU), social factors/subjective norm, and demographic factors. The survey questions are structured to collect these factors and their intention to use the technology. In the survey group, participants are introduced with the ADAS via paper introduction. In the simulator group, participants are given a test drive using the driving simulator.","387 survey respondents recruited online, 43 people recruited near Boston, MA to conduct ADAS driving simulator test. The data is merged.",,,"1. Table 2 of this article listed recent studies that tested the TAM, TPB and UTAUT models. 2. The user found all three models to be strong in predicting the intention of using the ADAS system. The R square for TAM model is highest (R2 = 0.82), TPB model has R2 of 0.80, UTAUT has R2 of 0.71. 3. Based on the high R2, the article confirms the Theory of Planned Behavior (TPB), where factors of Attitude, Subjective Norms, and Perceived Behavior Control has significant effects on acceptance (behavior intention).",,This study doesn't find gender or age to be a statistically significant factor in predicting intention to use ADAS. The author acknwoledged that some previous studies found the age and gender to be a significant predictor.,,,,,,,,,"Comparing the online survey and driving simulation, “The results revealed that participants exposed to the driving simulator showed a significantly higher intention to use these systems compared to the participants of the online survey.” ([Rahman et al., 2017, p. 369](zotero://select/groups/4433127/items/FCRJDPWX)) ([pdf](zotero://open-pdf/groups/4433127/items/M2CG9P9U?page=9&annotation=ZVQGXDPX)), the “acceptance of the systems was significantly higher for participants who experienced the simulated system (mean BI score = 5.31, SD = 1.35) compared to those who read the description (mean BI score = 4.62, SD = 1.60).” ([Rahman et al., 2017, p. 367](zotero://select/groups/4433127/items/FCRJDPWX)) ([pdf](zotero://open-pdf/groups/4433127/items/M2CG9P9U?page=7&annotation=5Q7GVCTL)).",,1. Combining two datasets with unbalanced number of observations. 2. Requiring participants to think of hypothetical driving scenarios. 3. The study only examines two types of ADAS system.,"“Research efforts should be made to validate the findings of this study across a range of in-vehicle technologies. Researchers have also proposed factors outside of TAM, TPB, and UTAUT that can affect behavioral intention to use an ADAS. Examples of these factors include: Trust (Najm et al., 2006; Ghazizadeh et al., 2012a), Compatibility (Ghazizadeh et al., 2012a), Endorsement (Najm et al., 2006; Stearns and Vega, 2011; Nodine et al., 2011), Affordability (Regan et al., 2006), and Reliability (Källhammer et al., 2007;LeBlanc et al., 2008; Van Houten et al., 2014). Future studies should investigate the predictive abilities of these factors and how these factors can be utilized to augment the theoretical acceptance models.” ([Rahman et al., 2017, p. 371](zotero://select/groups/4433127/items/FCRJDPWX)) ([pdf](zotero://open-pdf/groups/4433127/items/M2CG9P9U?page=11&annotation=TNJ6N6ML))","The primary author was supported, during his work at LMRIS, by a Liberty Mutual Safety Research Fellowship. The primary author wishes to thank the American Society of Safety Engineers and the Liberty Mutual Research Institute for Safety who jointly sponsored this fellowship.",,Y
,32,DOI,10.1063/1.5012394,"Ziebinski, A., Cupek, R., Grzechca, D., & Chruszczyk, L. (2017, November). Review of advanced driver assistance systems (ADAS). In AIP Conference Proceedings (Vol. 1906, No. 1, p. 120002). AIP Publishing LLC.",Review of advanced driver assistance systems (ADAS),1,https://aip.scitation.org/doi/10.1063/1.5012394,"New cars can be equipped with many advanced safety solutions. Airbags, seatbelts and all of the essential passive safety parts are standard equipment. Now cars are often equipped with new advanced active safety systems that can prevent accidents. The functions of the Advanced Driver Assistance Systems are still growing. A review of the most popular available technologies used in ADAS and descriptions of their application areas are discussed in this paper.",1,0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,35,ISSN,0003-6870,"Banks, V. A., Eriksson, A., O'Donoghue, J., & Stanton, N. A. (2018). Is partially automated driving a bad idea? Observations from an on-road study. Applied ergonomics, 68, 138-145.",Is partially automated driving a bad idea? Observations from an on-road study,1,https://www.sciencedirect.com/science/article/pii/S0003687017302594,"The automation of longitudinal and lateral control has enabled drivers to become “hands and feet free” but they are required to remain in an active monitoring state with a requirement to resume manual control if required. This represents the single largest allocation of system function problem with vehicle automation as the literature suggests that humans are notoriously inefficient at completing prolonged monitoring tasks. To further explore whether partially automated driving solutions can appropriately support the driver in completing their new monitoring role, video observations were collected as part of an on-road study using a Tesla Model S being operated in Autopilot mode. A thematic analysis of video data suggests that drivers are not being properly supported in adhering to their new monitoring responsibilities and instead demonstrate behaviour indicative of complacency and over-trust. These attributes may encourage drivers to take more risks whilst out on the road.",1,,,,Yes,Kelly Brasseaux,"Banks, Victoria A., Alexander Eriksson, Jim O’Donoghue, and Neville A. Stanton",2018,Journal Article,"Southampton, UK, Goteborg, Sweden, Coventry, UK","video recording of people driving a Tesla Model S in autopilot mode, thematic analysis of video footage",12 participants,,,,,,,,,,,,,,"""the most prominent theme occurring throughout the study was the presentation of system warnings, specifically the ‘Hold steering wheel’ visual warning within the HMI...Seven of these warnings escalated further - an auditory tone was signalled 15 s after the initial visual warning. At this stage, drivers would have been “hands free” for over 75 s."" (Banks et al., 2018, p. 140). 5 instances of mode confusion, 2 instances of testing the boundaries of Operational Design Domain, 3 instances of engagement in non-driving related secondary tasks. ",,"small sample size, done in UK, only used one type of vehicle",addition of eye tracking,,,Y
,36,ISSN,0003-6870,"Banks, V. A., Stanton, N. A., Burnett, G., & Hermawati, S. (2018). Distributed Cognition on the road: Using EAST to explore future road transportation systems. Applied ergonomics, 68, 258-266.",Distributed Cognition on the road: Using EAST to explore future road transportation systems,2,https://www.sciencedirect.com/science/article/pii/S0003687017302624,"Connected and Autonomous Vehicles (CAV) are set to revolutionise the way in which we use our transportation system. However, we do not fully understand how the integration of wireless and autonomous technology into the road transportation network affects overall network dynamism. This paper uses the theoretical principles underlying Distributed Cognition to explore the dependencies and interdependencies that exist between system agents located within the road environment, traffic management centres and other external agencies in both non-connected and connected transportation systems. This represents a significant step forward in modelling complex sociotechnical systems as it shows that the principles underlying Distributed Cognition can be applied to macro-level systems using the visual representations afforded by the Event Analysis of Systemic Teamwork (EAST) method.",1,0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,39,DOI,10.1016/j.ssci.2017.12.023,"Banks, V. A., Plant, K. L., & Stanton, N. A. (2018). Driver error or designer error: Using the Perceptual Cycle Model to explore the circumstances surrounding the fatal Tesla crash on 7th May 2016. Safety science, 108, 278-285.",Driver error or designer error: Using the Perceptual Cycle Model to explore the circumstances surrounding the fatal Tesla crash on 7th May 2016,2,http://www.sciencedirect.com/science/article/pii/S0925753517314212,"“Human error” is often implicated as a causal factor in accident investigation yet very little is done to understand ‘why’ such errors occur in the first place. This paper uses the principles of Schema Theory and the Perceptual Cycle Model (PCM) to further explore the circumstances surrounding the fatal Tesla crash in May 2016 in which the driver was fatally injured using team-PCM representations. The preliminary National Highway Traffic Safety Administration accident investigation concluded that the driver of the Tesla Model S was at fault. However, the analysis presented in this paper argues that rather than “driver error”, the underlying cause of this tragic incident could be in fact more akin to a “designer error” implicating the design of the Autopilot feature itself. This is in line with the National Transportation Safety Boards more recent announcement that suggests systems design may have contributed to the crash. It would therefore appear that the drivers expectation of system functionality may not have matched the real life capabilities of the system. This is likely to be a product of inappropriate mental models relating to system function.",1,0,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,41,ISSN,0749-3797,"Combs, T. S., Sandt, L. S., Clamann, M. P., & McDonald, N. C. (2019). Automated vehicles and pedestrian safety: exploring the promise and limits of pedestrian detection. American journal of preventive medicine, 56(1), 1-7.",Automated Vehicles and Pedestrian Safety: Exploring the Promise and Limits of Pedestrian Detection,2,https://www.sciencedirect.com/science/article/pii/S0749379718320932,"U.S. pedestrian fatalities have risen recently, even as vehicles are equipped with increasingly sophisticated safety and crash avoidance technology. Many experts expect that advances in automated vehicle technology will reduce pedestrian fatalities substantially through eliminating crashes caused by human error. This paper investigates automated vehicles’ potential for reducing pedestrian fatalities by analyzing nearly 5,000 pedestrian fatalities recorded in 2015 in the Fatality Analysis Reporting System, virtually reconstructing them under a hypothetical scenario that replaces involved vehicles with automated versions equipped with state-of-the-art (as of December 2017) sensor technology. This research involved the following activities: (1) establish functional ranges of state-of-the-art pedestrian sensor technologies, (2) use data from the Fatality Analysis Reporting System to identify pedestrian fatalities recorded in each state in the U.S. and District of Columbia in 2015, and (3) assess the maximum numbers of pedestrian fatalities that could have been avoided had involved vehicles been replaced with autonomous versions equipped with the described sensors. The research was conducted from July to December 2017. Sensors’ abilities to detect pedestrians in advance of fatal collisions vary from <30% to >90% of fatalities. Combining sensor technologies offers the greatest potential for eliminating fatalities, but may be unrealistically expensive. Furthermore, whereas initial deployment of automated vehicles will likely be restricted to freeways and select urban areas, non-freeway streets and rural settings account for a substantial share of pedestrian fatalities. Although technologies are being developed for automated vehicles to successfully detect pedestrians in advance of most fatal collisions, the current costs and operating conditions of those technologies substantially decrease the potential for automated vehicles to radically reduce pedestrian fatalities in the short term.",1,0,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,5,DOI,10.1016/j.proenv.2013.02.063,"Belgiawan, P. F., Schmöcker, J. D., & Fujii, S. (2013). Effects of peer influence, satisfaction and regret on car purchase desire. Procedia Environmental Sciences, 17, 485-493.","Effects of Peer Influence, Satisfaction and Regret on Car Purchase Desire",3,https://www.sciencedirect.com/science/article/pii/S1878029613000650,"Car ownership levels are increasing rapidly in developing countries, leading to unsustainable developments. Following previous research, we suggest that peer influences are important determinants of desires to purchase cars. Using data from 134 undergraduate students who own a car from Bandung, Indonesia, this study constructs through principal component analysis four groups that partly explain the desire to trade in one's current car to a better one: Friends, Commercial, Siblings and Parents. These four factors, along with the degree of satisfaction and regret of having bought one's current, are used in correlation analysis to determine their correlations with the desire to purchase a different car. Our results suggest that the influence of siblings is a significant determinant. We discuss that this might highlight the importance of peers in car purchase decision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,DOI,10.3141/2516-09,"Burdett, B., Li, Z., Bill, A. R., & Noyce, D. A. (2015). Accuracy of injury severity ratings on police crash reports. Transportation research record, 2516(1), 58-67.",Accuracy of injury severity ratings on police crash reports,2,Accuracy of Injury Severity Ratings on Police Crash Reports (sagepub.com),"Injury severity as assessed by law enforcement officers on crash reports, particularly incapacitating injuries (severity 5 A on the KABCO scale, on which K denotes a fatal injury, A an incapacitating injury, B a non­incapacitating injury, C a possible injury, and O a property­damage­only crash, is used for estimating crash costs and, in turn, for allocating safety funds. The Crash Outcome Data Evaluation System (CODES) database reports injury severity assessment from both law enforcement officers using the KABCO scale and medical practitioners using the Maximum Abbreviated  Injury  Score  (MAIS).  The  objective  of  this  study  was  to  analyze the accuracy of the injury severity ratings on Wisconsin crash reports by comparing crash data in the CODES database between 2008 and 2012. Results indicated that 66.6% of KABCO A crashes had only minor or moderate injury severities (MAIS 1 or 2); that is, two­thirds of crash victims’ injury severities were overestimated. In addition, under­estimation of injury severities occurred in 2.9% of all O, C, and B crashes.Further analyses found that injuries to all body regions statistically con­tributed to overestimation and underestimation as compared with inju­ries to body regions from all crash reports, with the exception of lower extremities for underestimated crashes. Several factors including gender, vehicle type, and the presence of alcohol significantly contributed to both overestimation and underestimation. Lighting conditions also affected underestimation. Spine, thorax, and abdomen or pelvic injuries were the injuries most frequently missed by law enforcement officers. The most common injuries found in the inaccurate crash reports were bone inju­ries, lacerations, abrasions, and contusions. These findings were used to develop guidance for law enforcement officers to assist in more accurate injury severity assessments.",,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,ISBN,0361-1981,"Clark, J. B., & Fontaine, M. D. (2015). Exploration of work zone crash causes and implications for safety performance measurement programs. Transportation research record, 2485(1), 61-69.",Exploration of work zone crash causes and implications for safety performance measurement programs,2,"Exploration of Work Zone Crash Causes and Implications for Safety Performance Measurement Programs - Jacquelyn B. Clark, Michael D. Fontaine, 2015 (tamu.edu)","Police crash reports are a fundamental data source for state work zone safety performance measurement programs. Studies have often identified work zone crashes simply on the basis of their location and have not considered the causal role (if any) that the work zone played in the crash. This study reviewed two years of Virginia work zone crashes and identified crashes that had been directly influenced by a work zone (directly related crashes) from a data set of all crashes that had been reported as occurring in the vicinity of a work zone (coded crashes). This procedure was done to assess the degree to which work zone activities appeared to influence the likelihood or severity of crashes within the work zone. Work zone crash reports were examined individually, and crash trends and possible safety improvement measures were identified. The study found a disparity between coded crashes and directly related crashes. Only 23% of the coded crashes could be directly related to the work zone. Further, coded crashes tended to overrepresent the proportional increase in rear-end crashes and underrepresent the proportional increase in fixed object–off road crashes. Analysis also identified several potential avenues where work zone safety performance measures could be influenced by the Virginia Department of Transportation, including improved work zone traffic management planning, ingress and egress design, and traffic control placement. Improvements to work zone crash forms were also identified. Implications of the differences between coded and directly related crashes for work zone safety performance measures are also discussed.",,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,DOI,10.1136/injuryprev-2014-041317,"Lusk, A. C., Asgarzadeh, M., & Farvid, M. S. (2015). Database improvements for motor vehicle/bicycle crash analysis. Injury prevention, 21(4), 221-230.",Database improvements for motor vehicle/bicycle crash analysis,2,Database improvements for motor vehicle/bicycle crash analysis | Injury Prevention (bmj.com),"Background Bicycling is healthy but needs to be safer for more to bike. Police crash templates are designed for reporting crashes between motor vehicles, but not between vehicles/bicycles. If written/drawn bicycle-crash-scene details exist, these are not entered into spreadsheets.

Objective To assess which bicycle-crash-scene data might be added to spreadsheets for analysis.

Methods Police crash templates from 50 states were analysed. Reports for 3350 motor vehicle/bicycle crashes (2011) were obtained for the New York City area and 300 cases selected (with drawings and on roads with sharrows, bike lanes, cycle tracks and no bike provisions). Crashes were redrawn and new bicycle-crash-scene details were coded and entered into the existing spreadsheet. The association between severity of injuries and bicycle-crash-scene codes was evaluated using multiple logistic regression.

Results Police templates only consistently include pedal-cyclist and helmet. Bicycle-crash-scene coded variables for templates could include: 4 bicycle environments, 18 vehicle impact-points (opened-doors and mirrors), 4 bicycle impact-points, motor vehicle/bicycle crash patterns, in/out of the bicycle environment and bike/relevant motor vehicle categories. A test of including these variables suggested that, with bicyclists who had minor injuries as the control group, bicyclists on roads with bike lanes riding outside the lane had lower likelihood of severe injuries (OR, 0.40, 95% CI 0.16 to 0.98) compared with bicyclists riding on roads without bicycle facilities.

Conclusions Police templates should include additional bicycle-crash-scene codes for entry into spreadsheets. Crash analysis, including with big data, could then be conducted on bicycle environments, motor vehicle potential impact points/doors/mirrors, bicycle potential impact points, motor vehicle characteristics, location and injury.",,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,DOI,10.3141/2514-13,"Zheng, D., Chitturi, M. V., Bill, A. R., & Noyce, D. A. (2015). Analyses of multiyear statewide secondary crash data and automatic crash report reviewing. Transportation research record, 2514(1), 117-128.",Analyses of multiyear statewide secondary crash data and automatic crash report reviewing,2,"Analyses of Multiyear Statewide Secondary Crash Data and Automatic Crash Report Reviewing - Dongxi Zheng, Madhav V. Chitturi, Andrea R. Bill, David A. Noyce, 2015 (sagepub.com)","Secondary crashes are undesired consequences of highway incidents. Previous studies used different methods to identify secondary crashes. However, because of the expense of accurate identification, most studies focused only on small-scale highway networks (e.g., up to urban arte-rials). Some studies considered statewide networks, but the accuracy of their secondary crash identification methods was not justified. Recently, the authors proposed an efficient method to identify secondary crashes on statewide freeway networks with reasonable accuracy. A 1-year case study was conducted for preliminary analysis. As a continuing effort, this research included four more years of secondary crash data and found that (a) rear-end and sideswipe crashes in the same direction were the top two secondary crash types; (b) road debris, construction zones, and obscured visibility were three major potential highway contributing factors; (c) following too closely, inattentive driving, losing vehicle control, and speeding were four major potential driver contributing factors; (d) temporal distributions by hour and month were different between secondary crashes and general crashes; and (e) secondary crash hot spots clustered around urban areas and were within 1 mi from major freeway interchanges. In addition, an algorithm was proposed to detect secondary crashes on the basis of police narratives in the crash reports. This algorithm was evaluated by using 5-year secondary crash data (4 years for training and 1 year for testing). By choosing an optimal threshold, this algorithm identified all true secondary crashes while keeping false positives at a low number.",,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,DOI,10.1016/S2212-5671(16)30145-9,"Zolkifly, N. H., & Baharom, S. N. (2016). Selling cars through visual merchandising: Proposing emotional design approach. Procedia Economics and Finance, 37, 412-417.",Selling Cars through Visual Merchandising: Proposing Emotional Design Approach,2,Selling Cars through Visual Merchandising: Proposing Emotional Design Approach - ScienceDirect,"Retail giants in every other industry have extensively used sophisticated visual merchandising techniques but they have been grossly underutilized in the auto industry. For this reason, there are no specific guidelines or manual provided to utilize visual merchandising elements inside the car showroom especially in automotive scene. By using strategic visual merchandising, car dealers can turn prospects into buyers. However, the visual merchandising elements must capture the emotion and perception of customers. Therefore, this study aims to identify the roles of visual merchandising inside a car showroom as stimuli that attract customers at the point of sale i.e. the car dealership and proposing emotional design approach in designing car showroom. By means of the proposed conceptual model, it should complement the current design approach in enhancing consumer purchasing behavior from the design perspectives. The conceptual framework has emerged from emotional design concept that allows the creation of desirable showroom design. As a result, this concept can be a guideline to facilitate marketer and dealer in designing a car showroom through visual merchandising elements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,ISSN,1369-8478,"Reagan, I. J., Cicchino, J. B., Kerfoot, L. B., & Weast, R. A. (2018). Crash avoidance and driver assistance technologies–Are they used?. Transportation research part F: traffic psychology and behaviour, 52, 176-190.",Crash avoidance and driver assistance technologies – Are they used?,1,https://www.sciencedirect.com/science/article/pii/S1369847817303674,"Crash avoidance technologies have potential to mitigate collisions, and actual crash reductions have been identified for some systems. This study measured observed on-off rates of these technologies as an indicator of use, with a focus on lane maintenance systems (i.e., designed to keep vehicles within lanes by warning, braking, and/or steering) and studied factors that might increase their acceptance and use. Vehicles from nine manufacturers fitted with lane maintenance systems were observed at service departments during 2016. Systems were turned on in 51% of 983 vehicles. The activation rate was higher for systems with braking/steering interventions and vibrating warnings and decreased with total mileage. Large proportions of front crash prevention (93%), blind spot monitoring (99%), rear cross-traffic alert (97%), and driver monitoring alert (90%) systems were enabled, and most optional settings were set to factory defaults. Owner surveys linked to observations showed that drivers who had lane maintenance systems turned off believed warnings were distracting and unnecessary compared with drivers whose systems were on.",1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,ISSN,2008-2053,"Shafieian, M., & Mohan, D. (2019). Vehicle safety post-Decade of Action for Road Safety: the way forward. Journal of injury and violence research, 11(4 Suppl 2).",Vehicle Safety Post-Decade of Action for Road Safety: The Way Forward,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7186957/,"As the “Decade of Action for Road Safety” reaches its final stages, the quest to look out for the next steps forward continues. The experiences from the Decade of Action will help us to define an effective roadmap for the next decade., Vehicle safety has been one the areas that has been subjected to significant changes over the past decade with advancements in technology, especially in the field of active safety. This change in the field has been more tangible in High Income Countries (HICs). This note suggests a path to determine the effect of vehicle safety in Iran as a Low/Middle Income Country (LMIC), considering the road safety management structure of the country and introduces the priorities that need to be the subject of focus in further stages., As the “Safe System Approach for Road Safety” focuses on reducing the fatalities and injuries, the interactions between human body and the surrounding area, the vehicle becomes an important issue. Therefore, vehicle designs that meet modern safety standards, with the goal of reducing the risk of occurrence of crashes and ensuing injuries become more prominent. As these advancements in active and passive safety features are being introduced in HICs, the nature of these technologies and limited resources in LMICs, require a deeper understanding of the effectiveness of these technologies would help us set more effective strategies in such countries., A profound understanding of the causes of crashes and the following injuries, is an essential step in setting precise strategies to continue reducing fatalities. This issue has been one of the targets during the decade of action, but a structured regime with independence from involved key stakeholders, must be established to precisely determine the role and details of the involvement of vehicle design and technical aspects in occurrence of the crashes and following injuries. , As utilizing advanced technologies for upcoming future is a must to enhance the vehicle safety, considering the economic status of the country besides the evidences in the trend of crashes in Iran suggest effective interventions to achieve results in the shortest time, it would be important to examine the possibility of introducing some of the technologies in the shortest possible time, for example:, a. New Car Assessment Program (NCAP) ratings for new car models., b. ABS/Combined Braking systems and daytime running lights for powered two-wheelers., c. Automatic Emergency Braking Systems for cars., d. Electronic stability control systems (ESC), Such interventions can also be considered as a platform that practices the utilization of new processes in LMICs that can improve in the next stages",1,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
